IDNUMBER,SMILES,predicts-2315,predicts-5444,predicts-5010,predicts-1936,predicts-4621,predicts-3199,predicts-9572,predicts-8469,predicts-6294,predicts-3483,predicts-5030,predicts-6894
AG-690/15430875,COc2ccccc2(C(=O)NC(Nc1cc(ccc1G)[N+](=O)[O-])=S),0,0.1,0.1,0.1,0.2,0.4,0.1,0.6,0.1,0.1,0.5,0.1
AG-690/15430876,COc2ccccc2(C(=O)NC(Nc1ccc(F)c(c1)[N+](=O)[O-])=S),0,0,0.2,0.2,0.2,0.6,0.1,0.2,0.2,0,0.4,0.1
AG-690/15430958,NCCNc1ccc(cc1(C(O)=O))[N+](=O)[O-],0.1,0,0,0.1,0.1,0.1,0,0.3,0,0.1,0.2,0
AG-690/15431104,CN(C)C(=O)NC(c1ccccc1)c2cc(c3cccnc3(c2(O)))[N+](=O)[O-],0,0,0,0.1,0.1,0.2,0.1,0.1,0,0,0.4,0
AG-690/15431146,Cc1cc(cc(C)c1G)OCC(=O)NNC(=O)CC#N,0,0,0.1,0,0.3,0.1,0.3,0.1,0.3,0.1,0,0
AG-690/15431157,Cc1ccc(cc1)C(=O)NNS(=O)(=O)c2ccc(cc2)[N+](=O)[O-],0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.4,0
AG-690/15431158,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2(F),0.2,0,0,0.1,0,0.2,0.4,0,0,0.1,0.3,0
AG-690/15431160,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2G,0.2,0,0,0.1,0,0.2,0.4,0,0,0.1,0.3,0
AG-690/15431161,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2cccc(c2)G,0,0,0,0.2,0.1,0.3,0,0,0.1,0.2,0.1,0
AG-690/15431163,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2R,0.2,0,0,0.1,0,0.2,0.4,0,0,0.1,0.3,0
AG-690/15431164,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2cccc(c2)R,0,0,0,0.2,0.1,0.3,0,0,0.1,0.2,0.1,0
AG-690/15431167,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2cccc(c2)I,0,0,0,0.2,0.1,0.3,0,0,0.1,0.2,0.1,0
AG-690/15431170,Cc2cccc(C(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2(O),0,0,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1
AG-690/15431176,COc1cccc(c1)C(=O)NNS(=O)(=O)c2ccc(cc2)[N+](=O)[O-],0.8,0.2,0,0.3,0,0,0.1,0.2,0.1,0.1,0,0.2
AG-690/15431178,COc1cc(cc(c1)C(=O)NNS(=O)(=O)c2ccc(cc2)[N+](=O)[O-])OC,0,0.1,0.1,0.1,0.3,0.4,0,0.1,0.3,0.1,0.1,0.1
AG-690/15431181,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])C2CCCCC2,0,0.1,0.4,0.2,0.2,0.5,0.5,0.1,0.1,0.3,0.4,0.2
AG-690/15431182,COCC(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-],0.6,0,0.4,0.2,0.6,0.1,0.3,0.3,0.4,0.3,0.4,0
AG-690/15431184,CC(C)C(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-],0.4,0.4,0.1,0,0.7,0.1,0.2,0.7,0.4,0.1,0.4,0.1
AG-690/15431186,COC(C(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1
AG-690/15431189,COc2ccc(CC(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])cc2(OC),0.1,0.1,0.1,0,0.3,0,0.1,0.4,0,0.1,0.5,0
AG-690/15431190,O=C(CCc1ccccc1)NNS(=O)(=O)c2ccc(cc2)[N+](=O)[O-],0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0.1
AG-690/15431214,O=C(NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])C(=O)NC2CCCCC2,0.7,0,0.2,0.1,0.6,0.6,0.5,0.2,0.2,0.3,0.3,0.1
AG-690/15431217,CC(C)(C)OC(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-],0.8,0,0,0.2,0.5,0.1,0,0.5,0.1,0.1,0.3,0.2
AG-690/15431222,COc2ccccc2(CC(=O)NNS(=O)(=O)c1ccc(cc1)[N+](=O)[O-]),0,0,0.1,0.2,0.2,0.1,0.1,0.5,0.2,0,0.3,0
AG-690/15431225,CC(Oc1ccccc1)C(=O)NNS(=O)(=O)c2ccc(cc2)[N+](=O)[O-],0.1,0.5,0.7,0.2,0.2,0.1,0,0.1,0.3,0.1,0,0.2
AG-690/15431247,O=C(NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2ccc(F)cc2,0,0,0.1,0,0,0.1,0.1,0.1,0.4,0.1,0.1,0
AG-690/15431248,O=C(NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2ccccc2R,0.3,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.2,0.1
AG-690/15431249,O=C(NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2ccc(cc2)I,0,0,0,0.1,0.1,0.1,0.2,0,0.4,0.2,0,0.1
AG-690/15431251,Cc2cccc(C(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2(O),0.1,0,0,0.2,0.2,0.1,0.2,0.2,0,0,0.2,0.2
AG-690/15431256,COc2ccccc2(C(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-]),0.8,0.4,0.2,0.3,0.5,0.2,0.6,0.3,0.4,0.3,0.5,0.3
AG-690/15431257,COc1cccc(c1)C(=O)NNS(=O)(=O)c2ccccc2[N+](=O)[O-],0.1,0.1,0.1,0,0,0.1,0,0.2,0.2,0,0.1,0.1
AG-690/15431260,COc1cc(cc(c1)C(=O)NNS(=O)(=O)c2ccccc2[N+](=O)[O-])OC,0,0,0,0.3,0.1,0.5,0.2,0.3,0.5,0,0,0.1
AG-690/15431262,Oc1cc3ccccc3(cc1C(=O)NNS(=O)(=O)c2ccccc2[N+](=O)[O-]),0,0.2,0.1,0.2,0,0.4,0.3,0.1,0.3,0.3,0,0.2
AG-690/15431265,O=C(NNS(=O)(=O)c1ccccc1[N+](=O)[O-])C2CCCCC2,0.3,0.2,0.3,0.4,0.5,0.2,0.5,0.1,0.1,0.2,0.2,0.4
AG-690/15431266,CC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-],0.3,0.1,0,0.1,0.3,0.2,0,0.2,0.1,0.2,0.8,0.1
AG-690/15431267,COCC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-],0.4,0.1,0.1,0.2,0.2,0.1,0,0,0.3,0.1,0.3,0
AG-690/15431269,CC(C)C(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-],0.6,0.8,0.8,0.7,0.7,0.4,0.5,0.7,0.90000004,0.8,0.8,0.90000004
AG-690/15431271,COC(C(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2ccccc2,0.1,0.2,0,0.1,0,0.2,0,0.2,0,0,0.3,0.2
AG-690/15431272,O=C(Cc1ccc(cc1)G)NNS(=O)(=O)c2ccccc2[N+](=O)[O-],0.1,0.4,0,0.1,0,0.6,0,0,0,0,0,0.1
AG-690/15431273,COc2ccc(CC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-])cc2(OC),0,0.1,0.1,0,0,0,0.1,0.2,0,0,0.3,0.1
AG-690/15431305,COc2ccccc2(CC(=O)NNS(=O)(=O)c1ccccc1[N+](=O)[O-]),0,0.1,0.1,0.2,0,0,0.1,0.3,0.1,0.2,0.3,0.1
AG-690/15431309,O=C(NNS(=O)(=O)c1ccccc1[N+](=O)[O-])c2ccc3ccccc3(c2(O)),0,0.1,0,0.2,0,0,0.1,0,0,0,0,0
AG-690/15431313,Cc2cc(ccc2(NS(=O)(=O)c1ccccc1[N+](=O)[O-]))G,0.2,0.1,0,0,0.2,0,0.1,0.1,0,0.1,0,0.1
AG-690/15431319,CC1(C)(CC(CC(C)(C)N1)NS(=O)(=O)c2ccccc2[N+](=O)[O-]),0.6,0.90000004,0.2,0.3,0.5,0.2,1,0.1,0.3,0.3,0,0.3
AG-690/15431337,Cc1cccc(c1)C(=O)NNS(=O)(=O)c2cccc(c2)[N+](=O)[O-],0.4,0.1,0,0.1,0,0.4,0,0.3,0.1,0,0.4,0.2
AG-690/15431338,O=C(NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-])c2ccc(F)cc2,0.7,0,0,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.5,0
AG-690/15431351,COc2ccccc2(C(=O)NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-]),0.6,0.2,0,0.1,0.7,0.1,0.3,0.2,0.4,0,0.4,0.4
AG-690/15431356,COc1cc(cc(c1)C(=O)NNS(=O)(=O)c2cccc(c2)[N+](=O)[O-])OC,0,0,0.1,0.3,0.1,0.2,0.4,0.1,0.5,0.1,0.1,0.1
AG-690/15431364,CC(C)C(=O)NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-],0.8,0,0.1,0.3,0.8,0.3,0.5,0.4,0.3,0.1,0.4,0.7
AG-690/15431370,COc2ccc(CC(=O)NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-])cc2(OC),0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0
AG-690/15431371,O=C(CCc1ccccc1)NNS(=O)(=O)c2cccc(c2)[N+](=O)[O-],0.1,0.4,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0,0.1
AG-690/15431397,O=C(NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-])C(=O)NC2CCCCC2,0.6,0,0.2,0.1,0.6,0.5,0.7,0.2,0.5,0.2,0,0.1
AG-690/15431400,CC(C)(C)OC(=O)NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-],0.3,0.1,0,0.2,0.3,0,0.1,0.5,0.5,0.3,0.5,0.8
AG-690/15431405,COc2ccccc2(CC(=O)NNS(=O)(=O)c1cccc(c1)[N+](=O)[O-]),0,0,0.1,0.4,0.1,0.1,0.1,0.4,0.3,0,0.1,0.1
